file,line,detail
ring_buf.h,270,succeed,task_id,65,predecessor_cnt,2,predecessor_id,57,idx,7
ring_buf.h,227,new,task_id,65, type,0
ring_buf.h,270,succeed,task_id,66,predecessor_cnt,2,predecessor_id,57,idx,8
ring_buf.h,227,new,task_id,66, type,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,2,predecessor_id,58,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,3,predecessor_id,59,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,4,predecessor_id,60,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,5,predecessor_id,61,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,6,predecessor_id,62,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,7,predecessor_id,63,idx,0
ring_buf.h,270,succeed,task_id,67,predecessor_cnt,8,predecessor_id,65,idx,0
ring_buf.h,227,new,task_id,67, type,1
ring_buf.h,270,succeed,task_id,68,predecessor_cnt,2,predecessor_id,12,idx,0
ring_buf.h,270,succeed,task_id,68,predecessor_cnt,3,predecessor_id,9,idx,0
ring_buf.h,270,succeed,task_id,68,predecessor_cnt,4,predecessor_id,11,idx,0
ring_buf.h,227,new,task_id,68, type,1
ring_buf.h,270,succeed,task_id,69,predecessor_cnt,2,predecessor_id,68,idx,0
ring_buf.h,227,new,task_id,69, type,0
ring_buf.h,270,succeed,task_id,70,predecessor_cnt,2,predecessor_id,69,idx,0
ring_buf.h,227,new,task_id,70, type,1
ring_buf.h,270,succeed,task_id,71,predecessor_cnt,2,predecessor_id,68,idx,1
ring_buf.h,270,succeed,task_id,71,predecessor_cnt,3,predecessor_id,70,idx,0
ring_buf.h,227,new,task_id,71, type,0
ring_buf.h,270,succeed,task_id,72,predecessor_cnt,2,predecessor_id,71,idx,0
ring_buf.h,270,succeed,task_id,72,predecessor_cnt,3,predecessor_id,70,idx,1
ring_buf.h,227,new,task_id,72, type,1
ring_buf.h,270,succeed,task_id,73,predecessor_cnt,2,predecessor_id,12,idx,1
ring_buf.h,270,succeed,task_id,73,predecessor_cnt,3,predecessor_id,9,idx,1
ring_buf.h,270,succeed,task_id,73,predecessor_cnt,4,predecessor_id,11,idx,1
ring_buf.h,227,new,task_id,73, type,1
ring_buf.h,270,succeed,task_id,74,predecessor_cnt,2,predecessor_id,73,idx,0
ring_buf.h,227,new,task_id,74, type,0
ring_buf.h,270,succeed,task_id,75,predecessor_cnt,2,predecessor_id,74,idx,0
ring_buf.h,227,new,task_id,75, type,1
ring_buf.h,270,succeed,task_id,76,predecessor_cnt,2,predecessor_id,73,idx,1
ring_buf.h,270,succeed,task_id,76,predecessor_cnt,3,predecessor_id,75,idx,0
ring_buf.h,227,new,task_id,76, type,0
ring_buf.h,270,succeed,task_id,77,predecessor_cnt,2,predecessor_id,76,idx,0
ring_buf.h,270,succeed,task_id,77,predecessor_cnt,3,predecessor_id,75,idx,1
ring_buf.h,227,new,task_id,77, type,1
ring_buf.h,270,succeed,task_id,78,predecessor_cnt,2,predecessor_id,12,idx,2
ring_buf.h,270,succeed,task_id,78,predecessor_cnt,3,predecessor_id,9,idx,2
ring_buf.h,270,succeed,task_id,78,predecessor_cnt,4,predecessor_id,11,idx,2
ring_buf.h,227,new,task_id,78, type,1
ring_buf.h,270,succeed,task_id,79,predecessor_cnt,2,predecessor_id,78,idx,0
ring_buf.h,227,new,task_id,79, type,0
ring_buf.h,270,succeed,task_id,80,predecessor_cnt,2,predecessor_id,79,idx,0
ring_buf.h,227,new,task_id,80, type,1
ring_buf.h,270,succeed,task_id,81,predecessor_cnt,2,predecessor_id,78,idx,1
ring_buf.h,270,succeed,task_id,81,predecessor_cnt,3,predecessor_id,80,idx,0
ring_buf.h,227,new,task_id,81, type,0
ring_buf.h,270,succeed,task_id,82,predecessor_cnt,2,predecessor_id,81,idx,0
ring_buf.h,270,succeed,task_id,82,predecessor_cnt,3,predecessor_id,80,idx,1
ring_buf.h,227,new,task_id,82, type,1
ring_buf.h,270,succeed,task_id,83,predecessor_cnt,2,predecessor_id,12,idx,3
ring_buf.h,270,succeed,task_id,83,predecessor_cnt,3,predecessor_id,9,idx,3
ring_buf.h,270,succeed,task_id,83,predecessor_cnt,4,predecessor_id,11,idx,3
ring_buf.h,227,new,task_id,83, type,1
ring_buf.h,270,succeed,task_id,84,predecessor_cnt,2,predecessor_id,83,idx,0
ring_buf.h,227,new,task_id,84, type,0
ring_buf.h,270,succeed,task_id,85,predecessor_cnt,2,predecessor_id,84,idx,0
ring_buf.h,227,new,task_id,85, type,1
ring_buf.h,270,succeed,task_id,86,predecessor_cnt,2,predecessor_id,83,idx,1
ring_buf.h,270,succeed,task_id,86,predecessor_cnt,3,predecessor_id,85,idx,0
ring_buf.h,227,new,task_id,86, type,0
ring_buf.h,270,succeed,task_id,87,predecessor_cnt,2,predecessor_id,86,idx,0
ring_buf.h,270,succeed,task_id,87,predecessor_cnt,3,predecessor_id,85,idx,1
ring_buf.h,227,new,task_id,87, type,1
ring_buf.h,270,succeed,task_id,88,predecessor_cnt,2,predecessor_id,12,idx,4
ring_buf.h,270,succeed,task_id,88,predecessor_cnt,3,predecessor_id,9,idx,4
ring_buf.h,270,succeed,task_id,88,predecessor_cnt,4,predecessor_id,11,idx,4
ring_buf.h,227,new,task_id,88, type,1
ring_buf.h,270,succeed,task_id,89,predecessor_cnt,2,predecessor_id,88,idx,0
ring_buf.h,227,new,task_id,89, type,0
ring_buf.h,270,succeed,task_id,90,predecessor_cnt,2,predecessor_id,89,idx,0
ring_buf.h,227,new,task_id,90, type,1
ring_buf.h,270,succeed,task_id,91,predecessor_cnt,2,predecessor_id,88,idx,1
ring_buf.h,270,succeed,task_id,91,predecessor_cnt,3,predecessor_id,90,idx,0
ring_buf.h,227,new,task_id,91, type,0
ring_buf.h,270,succeed,task_id,92,predecessor_cnt,2,predecessor_id,91,idx,0
ring_buf.h,270,succeed,task_id,92,predecessor_cnt,3,predecessor_id,90,idx,1
ring_buf.h,227,new,task_id,92, type,1
ring_buf.h,270,succeed,task_id,93,predecessor_cnt,2,predecessor_id,12,idx,5
ring_buf.h,270,succeed,task_id,93,predecessor_cnt,3,predecessor_id,9,idx,5
ring_buf.h,270,succeed,task_id,93,predecessor_cnt,4,predecessor_id,11,idx,5
ring_buf.h,227,new,task_id,93, type,1
ring_buf.h,270,succeed,task_id,94,predecessor_cnt,2,predecessor_id,93,idx,0
ring_buf.h,227,new,task_id,94, type,0
ring_buf.h,270,succeed,task_id,95,predecessor_cnt,2,predecessor_id,94,idx,0
ring_buf.h,227,new,task_id,95, type,1
ring_buf.h,270,succeed,task_id,96,predecessor_cnt,2,predecessor_id,93,idx,1
ring_buf.h,270,succeed,task_id,96,predecessor_cnt,3,predecessor_id,95,idx,0
ring_buf.h,227,new,task_id,96, type,0
ring_buf.h,270,succeed,task_id,97,predecessor_cnt,2,predecessor_id,96,idx,0
ring_buf.h,270,succeed,task_id,97,predecessor_cnt,3,predecessor_id,95,idx,1
ring_buf.h,227,new,task_id,97, type,1
ring_buf.h,270,succeed,task_id,98,predecessor_cnt,2,predecessor_id,12,idx,6
ring_buf.h,270,succeed,task_id,98,predecessor_cnt,3,predecessor_id,9,idx,6
ring_buf.h,270,succeed,task_id,98,predecessor_cnt,4,predecessor_id,11,idx,6
ring_buf.h,227,new,task_id,98, type,1
ring_buf.h,270,succeed,task_id,99,predecessor_cnt,2,predecessor_id,98,idx,0
ring_buf.h,227,new,task_id,99, type,0
ring_buf.h,270,succeed,task_id,100,predecessor_cnt,2,predecessor_id,99,idx,0
ring_buf.h,227,new,task_id,100, type,1
ring_buf.h,270,succeed,task_id,101,predecessor_cnt,2,predecessor_id,98,idx,1
ring_buf.h,270,succeed,task_id,101,predecessor_cnt,3,predecessor_id,100,idx,0
ring_buf.h,227,new,task_id,101, type,0
ring_buf.h,270,succeed,task_id,102,predecessor_cnt,2,predecessor_id,101,idx,0
ring_buf.h,270,succeed,task_id,102,predecessor_cnt,3,predecessor_id,100,idx,1
ring_buf.h,227,new,task_id,102, type,1
ring_buf.h,270,succeed,task_id,103,predecessor_cnt,2,predecessor_id,12,idx,7
ring_buf.h,270,succeed,task_id,103,predecessor_cnt,3,predecessor_id,9,idx,7
